entity	mean	moe
<dbpedia:1998_United_States_embassy_bombings>	0.7339095173671597	0.017621542522731758
<dbpedia:1_Corinthians_11>	0.7260726072607261	0.0
<dbpedia:A.G._Barr>	0.7613988952707795	0.006820307985445993
<dbpedia:Alaska>	0.7929941911635275	0.003940538404125847
<dbpedia:Alexander_Nevsky_Cathedral,_Sofia>	0.7174029382542562	0.01555986663819945
<dbpedia:Angela_Merkel>	0.7691573274645731	0.0037350964393860495
<dbpedia:Antonia_Kidman>	0.7230352035595925	0.0160848270227561
<dbpedia:Apollo_11>	0.731368773404556	0.005041116840786095
<dbpedia:Ashley_Wagner>	0.767352055134947	0.005712390438533978
<dbpedia:Atop_an_Underwood:_Early_Stories_and_Other_Writings>	0.7140843024146012	0.011215742274629278
<dbpedia:Axis_powers>	0.7663469137309578	0.00651794138622659
<dbpedia:B._F._Skinner>	0.7408589630842626	0.011479731550552277
<dbpedia:BASIC>	0.6923076923076923	0.0
<dbpedia:Bernard_Greenhouse>	0.7132689036293096	0.009420671166342912
<dbpedia:Bhutan>	0.7338441554065633	0.004572375225190894
<dbpedia:Bremerhaven>	0.7713037689850762	0.0010923068659282101
<dbpedia:Bride_of_the_Monster>	0.756733766226428	0.012896757697427541
<dbpedia:Bølling_lake>	0.7765851914516486	0.008226227068675533
<dbpedia:Camilo_Cienfuegos>	0.7312015607480443	0.018568247468998406
<dbpedia:Carl_Lewis>	0.7645825293901678	0.012322560689216501
<dbpedia:Carrollton_School_of_the_Sacred_Heart>	0.7127034124072578	0.008443717811706246
<dbpedia:Cold_Food_Festival>	0.7260726072607261	0.0
<dbpedia:Danny_Care>	0.7273966487966836	0.002595073724511724
<dbpedia:David_Suchet>	0.7042543065883469	0.003280053853776893
<dbpedia:Devon_and_Cornwall_Police>	0.7164146748734276	0.008726113778858539
<dbpedia:Disco_Defenders>	0.768478910634444	0.0031590713281982414
<dbpedia:Dragon's_Egg>	0.7260726072607261	0.0
<dbpedia:Dunlop_Sport_(Australia)>	0.7443318019286241	0.03689210030370173
<dbpedia:E-Loan>	0.771255060728745	0.02306638264675215
<dbpedia:Earl_of_Carnarvon>	0.7068103036718766	0.004719177661677708
<dbpedia:Ellen_Johnson_Sirleaf>	0.7083163513750221	0.0027585235808902427
<dbpedia:Erich_Kretschmann>	0.7044025157232704	0.0
<dbpedia:Expresso_Bongo>	0.7165427914336673	0.009821406231359724
<dbpedia:Gasherbrum_I>	0.7039545593004711	0.0008779784553298079
<dbpedia:GiNaC>	0.7390064285119792	0.03545905076536847
<dbpedia:Green_Street>	0.6923076923076923	0.0
<dbpedia:Gulf_of_Mannar>	0.7276130026874813	0.02669608789703995
<dbpedia:Hal_Roach>	0.7052359807824033	0.001633561498273053
<dbpedia:Hans_Christian_Andersen>	0.7710702943456803	0.00649671475246475
<dbpedia:Hideo_Nomo>	0.7156538829369798	0.007048299004619229
<dbpedia:In-tango>	0.7567147113785989	0.019233767728015116
<dbpedia:International_Computer_Music_Conference>	0.7403722558490667	0.028026796224726626
<dbpedia:James_T._Kirk>	0.7723880597014925	0.0
<dbpedia:Jim_Gray_(computer_scientist)>	0.7224765080531452	0.01348424854718184
<dbpedia:Jimmy_Liao>	0.710613738021881	0.012173772005248832
<dbpedia:John_Lennon_Anthology>	0.7220286251413938	0.012811154620993578
<dbpedia:Karen_Spärck_Jones>	0.7135903554216612	0.008017949457677438
<dbpedia:Klaus_Wowereit>	0.7093817203073834	0.005915426857380541
<dbpedia:Liam_Howlett>	0.7157172633038135	0.01022336150534793
<dbpedia:Lilium_candidum>	0.7217044721176248	0.01945804777507136
<dbpedia:Lives_of_Girls_and_Women>	0.6923076923076923	0.0
<dbpedia:London>	0.6923076923076924	1.5310262472058933e-17
<dbpedia:Major_League_Baseball>	0.7231365276995928	0.0039755683086053996
<dbpedia:Marc_Anthony_(album)>	0.7123718288365527	0.004951380575113255
<dbpedia:Michael_E._Zimmerman>	0.7723880597014924	8.883471137135706e-17
<dbpedia:Military_history_of_Australia_during_the_Vietnam_War>	0.7765851914516486	0.008226227068675533
<dbpedia:Motorola_Rokr>	0.7107547923100171	0.004186453929485096
<dbpedia:Murderecords>	0.7379260836338286	0.01938652245759766
<dbpedia:Ned_Brown_Forest_Preserve>	0.7273164579668306	0.02325853239345969
<dbpedia:Nelson_Mandela>	0.7623113152164657	0.005759071911168373
<dbpedia:Netherlands>	0.6923076923076923	0.0
<dbpedia:Niagara_Parkway>	0.7199420686325784	0.009595863036563877
<dbpedia:Noi_Bai_International_Airport>	0.7089219045544568	0.005501014570380344
